,activity,value,Amazing,Good,Normal,Bad,Awful
83,Exercise,False,0.9574468085106383,0.9716981132075472,0.9931972789115646,0.9444444444444444,0.9591836734693877
84,Documentary,True,0.2198581560283688,0.2641509433962264,0.2925170068027211,0.3055555555555556,0.2653061224489796
85,Documentary,False,0.7801418439716312,0.7358490566037735,0.7074829931972789,0.6944444444444444,0.7346938775510204
86,fasting,True,0.7021276595744681,0.5330188679245284,0.4557823129251701,0.4444444444444444,0.4489795918367347
87,fasting,False,0.2978723404255319,0.4669811320754717,0.54421768707483,0.5555555555555556,0.5510204081632653
88,diet,True,0.2907801418439716,0.20518867924528303,0.1360544217687075,0.027777777777777776,0.08163265306122448
89,diet,False,0.7092198581560284,0.7948113207547169,0.8639455782312925,0.9722222222222222,0.9183673469387755
90,walk,True,0.7801418439716312,0.5377358490566038,0.564625850340136,0.5555555555555556,0.40816326530612246
91,walk,False,0.2198581560283688,0.46226415094339623,0.43537414965986393,0.4444444444444444,0.5918367346938775
92,Email,True,0.1276595744680851,0.13443396226415094,0.11564625850340136,0.1111111111111111,0.12244897959183673
93,Email,False,0.8723404255319149,0.8655660377358491,0.8843537414965986,0.8888888888888888,0.8775510204081632
